tipo_accion,tipo_usuario,nombre_tipo_usuario,tiempo_llegada,tiempo_espera,tiempo_servicio,tiempo_sistema,cajero,inicio_servicio,fin_servicio,replica
pago,3,Muy lento,146.91747774529105,0.0,4.246963270342522,4.246963270342522,2,146.91747774529105,151.16444101563357,9
pago,2,Lento,155.53324050832268,0.0,2.0050298641311257,2.0050298641311257,0,155.53324050832268,157.5382703724538,9
pago,2,Lento,156.57861656563819,0.0,8.343057889287081,8.343057889287081,1,156.57861656563819,164.92167445492527,9
retiro,3,Muy lento,158.59487347805322,0.0,3.9264843062031085,3.9264843062031085,0,158.59487347805322,162.52135778425634,9
retiro,1,Normal,158.85749734477858,0.0,1.8967978230092464,1.8967978230092464,2,158.85749734477858,160.75429516778783,9
pago,3,Muy lento,160.95761736165406,0.0,2.003016732304571,2.003016732304571,2,160.95761736165406,162.96063409395862,9
pago,2,Lento,162.4605654047597,0.06079237949663252,0.6079467101425219,0.6687390896391544,0,162.52135778425634,163.12930449439887,9
retiro,0,Rápido,163.65655212259495,0.0,0.11356557141150937,0.11356557141150937,0,163.65655212259495,163.77011769400644,9
pago,0,Rápido,164.42313175873196,0.0,0.9030486124104804,0.9030486124104804,0,164.42313175873196,165.32618037114244,9
retiro,1,Normal,164.8596488973632,0.0,2.350850709735262,2.350850709735262,2,164.8596488973632,167.21049960709846,9
pago,0,Rápido,165.09149325289636,0.0,1.3871562477115664,1.3871562477115664,1,165.09149325289636,166.47864950060793,9
retiro,1,Normal,166.45330904292527,0.0,0.23485084825914415,0.23485084825914415,0,166.45330904292527,166.68815989118443,9
retiro,3,Muy lento,167.05177697637544,0.0,3.855876180107868,3.855876180107868,0,167.05177697637544,170.9076531564833,9
retiro,1,Normal,171.89258704165337,0.0,1.5130065803403916,1.5130065803403916,0,171.89258704165337,173.40559362199377,9
retiro,1,Normal,172.70500135892908,0.0,2.9407493684613892,2.9407493684613892,1,172.70500135892908,175.64575072739046,9
retiro,0,Rápido,172.8935665853663,0.0,0.24839393038053512,0.24839393038053512,2,172.8935665853663,173.14196051574683,9
pago,0,Rápido,174.18148803458516,0.0,3.5746542465178197,3.5746542465178197,0,174.18148803458516,177.75614228110297,9
pago,1,Normal,178.62450651681,0.0,0.7034190738325103,0.7034190738325103,0,178.62450651681,179.3279255906425,9
retiro,3,Muy lento,185.10702845181999,0.0,10.700592086210706,10.700592086210706,0,185.10702845181999,195.8076205380307,9
retiro,2,Lento,190.97818405984876,0.0,2.2502908093869602,2.2502908093869602,1,190.97818405984876,193.22847486923573,9
retiro,0,Rápido,191.1263889439532,0.0,1.3137681187175636,1.3137681187175636,2,191.1263889439532,192.44015706267078,9
retiro,3,Muy lento,192.13891244091525,0.30124462175552935,0.6585790342013208,0.9598236559568502,2,192.44015706267078,193.0987360968721,9
retiro,1,Normal,193.3660499716755,0.0,0.7084567108076143,0.7084567108076143,1,193.3660499716755,194.0745066824831,9
pago,3,Muy lento,195.35278104388442,0.0,1.384682708890877,1.384682708890877,1,195.35278104388442,196.73746375277528,9
retiro,0,Rápido,197.6050065135157,0.0,1.1345952779083572,1.1345952779083572,0,197.6050065135157,198.73960179142404,9
pago,0,Rápido,198.86544624836316,0.0,3.2996468734309103,3.2996468734309103,0,198.86544624836316,202.16509312179406,9
retiro,0,Rápido,198.9229643045001,0.0,1.6502108517781386,1.6502108517781386,1,198.9229643045001,200.57317515627824,9
retiro,0,Rápido,200.40496824269547,0.0,1.2009857531947483,1.2009857531947483,2,200.40496824269547,201.60595399589022,9
retiro,0,Rápido,200.6827549276596,0.0,0.3174785433199015,0.3174785433199015,1,200.6827549276596,201.0002334709795,9
retiro,3,Muy lento,209.59879832804455,0.0,0.9041385480091916,0.9041385480091916,0,209.59879832804455,210.50293687605375,9
retiro,1,Normal,212.10719804054492,0.0,2.2562164517821888,2.2562164517821888,0,212.10719804054492,214.3634144923271,9
retiro,1,Normal,213.5410019284912,0.0,1.3413242564564818,1.3413242564564818,1,213.5410019284912,214.8823261849477,9
retiro,3,Muy lento,215.36298522374065,0.0,2.126383704625597,2.126383704625597,0,215.36298522374065,217.48936892836625,9
retiro,3,Muy lento,219.15973092496165,0.0,8.064781485452365,8.064781485452365,0,219.15973092496165,227.224512410414,9
retiro,3,Muy lento,219.77251428147017,0.0,7.349770509668271,7.349770509668271,1,219.77251428147017,227.12228479113844,9
retiro,1,Normal,220.0661845252942,0.0,4.019909437765723,4.019909437765723,2,220.0661845252942,224.08609396305994,9
retiro,0,Rápido,221.26897227707474,2.8171216859851995,0.444973610495583,3.2620952964807826,2,224.08609396305994,224.53106757355553,9
retiro,1,Normal,223.3911323442373,1.1399352293182403,1.0032356198154302,2.1431708491336705,2,224.53106757355553,225.53430319337096,9
pago,3,Muy lento,226.30689793208333,0.0,5.645061005739036,5.645061005739036,2,226.30689793208333,231.95195893782235,9
pago,3,Muy lento,238.9799833315283,0.0,14.585829689875462,14.585829689875462,0,238.9799833315283,253.56581302140376,9
